PRODUCT,DRAW NUMBER,SEQUENCE NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,NUMBER DRAWN 7,BONUS NUMBER
LOTTO MAX,47,23,13/08/2010,13,14,20,22,27,28,33,0
LOTTO MAX,47,24,13/08/2010,5,17,21,23,24,42,46,0
LOTTO MAX,47,25,13/08/2010,12,21,23,28,30,36,46,0
LOTTO MAX,47,26,13/08/2010,5,12,18,26,34,38,43,0
LOTTO MAX,47,27,13/08/2010,3,4,13,15,25,38,43,0
LOTTO MAX,47,28,13/08/2010,7,10,24,25,26,34,42,0
LOTTO MAX,47,29,13/08/2010,4,12,13,23,25,44,47,0
LOTTO MAX,47,30,13/08/2010,6,17,18,27,31,39,40,0
LOTTO MAX,47,31,13/08/2010,1,11,20,25,33,36,49,0
LOTTO MAX,47,32,13/08/2010,6,23,24,29,41,43,47,0
LOTTO MAX,47,33,13/08/2010,4,9,23,25,27,42,44,0
LOTTO MAX,47,34,13/08/2010,5,8,18,26,36,38,43,0
LOTTO MAX,47,35,13/08/2010,2,5,8,12,23,40,46,0
LOTTO MAX,47,36,13/08/2010,9,10,19,21,26,44,49,0
LOTTO MAX,47,37,13/08/2010,9,20,24,29,37,42,47,0
LOTTO MAX,47,38,13/08/2010,21,30,31,33,40,42,46,0
LOTTO MAX,47,39,13/08/2010,5,13,23,28,29,33,39,0
LOTTO MAX,47,40,13/08/2010,3,8,17,21,24,31,39,0
LOTTO MAX,48,0,20/08/2010,4,5,7,8,18,30,35,39
LOTTO MAX,49,0,27/08/2010,3,14,26,27,29,32,34,1
LOTTO MAX,50,0,03/09/2010,12,17,27,28,31,36,48,37
LOTTO MAX,51,0,10/09/2010,4,17,27,32,34,39,47,13
LOTTO MAX,52,0,17/09/2010,2,5,6,43,46,47,48,39
LOTTO MAX,53,0,24/09/2010,9,22,25,30,31,39,42,19
LOTTO MAX,54,0,01/10/2010,10,12,13,25,28,29,41,39
LOTTO MAX,55,0,08/10/2010,3,4,5,8,13,22,33,32
LOTTO MAX,56,0,15/10/2010,3,14,17,25,30,33,39,7
